diagnostic_id,source_row,source_block,diagnostic,assessment_type,source_weight,metric_id,metric_name,duplicate_group,score_role,evidence_note
D081,82,Методология GEO / AEO / LLMO,Учитываются ли short prompts,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D082,83,Методология GEO / AEO / LLMO,Учитываются ли conversational prompts,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D083,84,Методология GEO / AEO / LLMO,Учитываются ли follow-up запросы,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D084,85,Методология GEO / AEO / LLMO,Есть ли entity-level оптимизация,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D085,86,Методология GEO / AEO / LLMO,Есть ли работа с knowledge graph / сущностями,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D086,87,Методология GEO / AEO / LLMO,Есть ли AEO,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D087,88,Методология GEO / AEO / LLMO,Есть ли GEO,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D088,89,Методология GEO / AEO / LLMO,Есть ли ORM/SERM для AI,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D089,90,Методология GEO / AEO / LLMO,Есть ли работа с фактоидами,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D090,91,Методология GEO / AEO / LLMO,Есть ли работа с цитируемостью,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D091,92,Методология GEO / AEO / LLMO,"Есть ли работа с источниками, которым доверяют LLM",Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D092,93,Методология GEO / AEO / LLMO,Есть ли работа с авторитетностью бренда,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D093,94,Методология GEO / AEO / LLMO,Есть ли работа с авторитетностью экспертов компании,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D094,95,Методология GEO / AEO / LLMO,Есть ли работа с digital footprint,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D095,96,Методология GEO / AEO / LLMO,Есть ли работа со структурированными данными,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D096,97,Методология GEO / AEO / LLMO,Есть ли Schema.org,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D097,98,Методология GEO / AEO / LLMO,Есть ли оптимизация сайта под извлечение информации LLM,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D098,99,Методология GEO / AEO / LLMO,Есть ли оптимизация существующего контента,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D099,100,Методология GEO / AEO / LLMO,Есть ли создание нового контента,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D100,101,Методология GEO / AEO / LLMO,Есть ли внешняя дистрибуция контента,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D101,102,Методология GEO / AEO / LLMO,Есть ли Digital PR,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D102,103,Методология GEO / AEO / LLMO,Есть ли работа с UGC,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D103,104,Методология GEO / AEO / LLMO,Есть ли работа с отраслевыми площадками,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D104,105,Методология GEO / AEO / LLMO,Есть ли работа со СМИ,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D105,106,Методология GEO / AEO / LLMO,Есть ли работа с рейтингами и comparison pages,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D106,107,Методология GEO / AEO / LLMO,Есть ли работа с отзывами,Да/Нет,4,M7,Полнота GEO-методологии,DUP-REVIEWS,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D107,108,Методология GEO / AEO / LLMO,Есть ли entity consistency между источниками,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D108,109,Методология GEO / AEO / LLMO,Есть ли стратегия устранения противоречащих сведений о бренде,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D109,110,Методология GEO / AEO / LLMO,Есть ли стратегия по каждому отдельному AI-ассистенту,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D110,111,Методология GEO / AEO / LLMO,Различает ли агентство механизмы retrieval/search и знания самой модели,Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D111,112,Измерение результата,Есть ли собственная система мониторинга,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D112,113,Измерение результата,Количество отслеживаемых промптов,Колич./экспертная,5,M8,Система измерения,DUP-PROMPT-COUNT,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D113,114,Измерение результата,Частота замеров,Колич./экспертная,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D114,115,Измерение результата,Количество отслеживаемых AI-систем,Колич./экспертная,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D115,116,Измерение результата,Отслеживаются ли конкуренты,Да/Нет,5,M8,Система измерения,DUP-COMPETITOR-TRACKING,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D116,117,Измерение результата,Измеряется ли Share of Voice,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D117,118,Измерение результата,Измеряется ли Recommendation Rate,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D118,119,Измерение результата,Измеряется ли Mention Rate,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D119,120,Измерение результата,Измеряется ли Citation Rate,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D120,121,Измерение результата,Измеряется ли Sentiment,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D121,122,Измерение результата,Измеряется ли доля положительных рекомендаций,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D122,123,Измерение результата,Измеряется ли позиция бренда внутри ответа,Да/Нет,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D123,124,Измерение результата,Измеряется ли наличие конкурентов в том же ответе,Да/Нет,5,M8,Система измерения,DUP-COMPETITOR-TRACKING,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D124,125,Измерение результата,"Измеряются ли источники/цитаты, использованные AI",Колич./экспертная,5,M8,Система измерения,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D125,126,Измерение результата,Хранится ли история изменений,Да/Нет,5,M8,Система измерения,DUP-HISTORY,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
