company,metric_id,raw_score,confidence,source_ids,evidence_boundary
NeuroReach,M17,4,0.75,SRC-NR-001;SRC-NR-005,"Понятны scope, метод, метрики, срок и ценовой порог; исключения и change/exit rules раскрыты не полностью"
Пиксель Плюс,M3,3,0.75,SRC-PP-003;SRC-PP-004;SRC-PP-012,Есть каталог GEO-кейсов и собственный датированный пример; открытый корпус не подтверждает четыре полных кейса по единому стандарту
Пиксель Плюс,M4,4,0.70,SRC-PP-003;SRC-PP-004;SRC-PP-009,Показаны разные типы результатов и измерение конверсии; причинная связь с бизнес-метрикой ограничена
Пиксель Плюс,M5,4,0.75,SRC-PP-003;SRC-PP-004;SRC-PP-007;SRC-PP-009,Большинство ключевых claims связано с датированными карточками и собственными измерительными материалами
Пиксель Плюс,M6,3,0.70,SRC-PP-004;SRC-PP-008;SRC-PP-009,Есть методические и измерительные детали; полный воспроизводимый пакет данных открыт не для всех кейсов
Пиксель Плюс,M7,4,0.75,SRC-PP-001;SRC-PP-008;SRC-PP-013,Раскрыт связный производственный workflow и факторы; публичная версия не даёт полного versioned validation package
Пиксель Плюс,M8,5,0.80,SRC-PP-007;SRC-PP-009,"Наиболее полный публичный измерительный контур с инструментом, историей и несколькими метриками"
Пиксель Плюс,M9,5,0.75,SRC-PP-005;SRC-PP-007;SRC-PP-008;SRC-PP-009;SRC-PP-010,Четыре и более датированных исследовательских/измерительных объектов; часть данных остаётся внутри инструмента
Пиксель Плюс,M10,5,0.75,SRC-PP-005;SRC-PP-006;SRC-PP-010;SRC-PP-012,"Широкий отраслевой контур конференций, исследований и внешних ролей; собственная платформа не считается независимой"
Пиксель Плюс,M11,3,0.75,SRC-PP-001;SRC-PP-011,"GEO — заметное направление крупного SEO/digital-агентства, но не единственная специализация компании"
Пиксель Плюс,M12,5,0.80,SRC-PP-011;SRC-PP-012,"Раскрыты масштаб команды, профильные роли и длительный операционный контур"
Пиксель Плюс,M13,5,0.80,SRC-PP-010;SRC-PP-011;SRC-PP-012,Многолетняя digital-история сочетается с регулярным GEO-производством и публичными циклами
Пиксель Плюс,M14,5,0.80,SRC-PP-007;SRC-PP-009;SRC-PP-011;SRC-PP-013,"Публично видны роли, измерение, отчётность, инфраструктура и формализованные обязательства"
Пиксель Плюс,M15,3,0.75,SRC-PP-013,"Есть white-method policy и отдельные ограничения; полный публичный контур прав, fact-check и инцидентов не раскрыт"
Пиксель Плюс,M16,3,0.75,SRC-PP-013,Публично раскрыты измеримый объект и срок гарантии; финансовый возврат за недостижение GEO-результата в проверенном корпусе не установлен
Пиксель Плюс,M17,4,0.75,SRC-PP-001;SRC-PP-013,"Понятны состав, срок, гарантии и ожидаемые результаты; exit/change rules раскрыты частично"
Head Promo,M3,4,0.75,SRC-HP-002;SRC-HP-003;SRC-HP-004;SRC-HP-005,Несколько именованных кейсов и отдельный эксперимент; эксперимент не подменяет клиентский кейс
Head Promo,M4,4,0.70,SRC-HP-003;SRC-HP-004,Есть разные сущности и измеримые изменения; публичных длинных повторных волн немного
Head Promo,M5,3,0.70,SRC-HP-003;SRC-HP-004;SRC-HP-007,Основные кейсы и исследование датированы; не все утверждения сведены в единый evidence-пакет
Head Promo,M6,3,0.65,SRC-HP-003;SRC-HP-004;SRC-HP-005,Способ проверки раскрыт частично; исходные машиночитаемые панели не опубликованы
Head Promo,M7,4,0.75,SRC-HP-001;SRC-HP-008,Есть связный workflow и практический чек-лист; versioning и формальная валидация раскрыты частично
Head Promo,M8,3,0.70,SRC-HP-003;SRC-HP-004;SRC-HP-007,Есть baseline и AI-visibility в кейсах; единого публичного измерительного контракта нет
Head Promo,M9,3,0.70,SRC-HP-005;SRC-HP-007;SRC-HP-008,"Есть эксперимент, исследование рынка и руководство; не все объекты имеют первичные данные"
Head Promo,M10,3,0.60,SRC-HP-006;SRC-HP-010,Есть отраслевые роли и внешний профиль; масштаб независимой цитируемости ограничен
Head Promo,M11,4,0.65,SRC-HP-001;SRC-HP-010,"GEO — выделенное заметное направление, но компания сохраняет широкий SEO/digital-контур"
Head Promo,M12,3,0.55,SRC-HP-009,Основные роли раскрыты частично; полная GEO-ролевая система публично не установлена
Head Promo,M13,3,0.60,SRC-HP-009;SRC-HP-010,Есть digital-история и несколько GEO-циклов; continuity раскрыта частично
Head Promo,M14,2,0.45,SRC-HP-001,"Раскрыты отдельные этапы и отчётность; SLA, export и change process публично не установлены"
Head Promo,M15,1,0.20,SRC-HP-001,"Есть общие безопасные формулировки, но публичный policy/process пакет не установлен"
Head Promo,M16,0,0.40,SRC-HP-001,Проверяемая финансовая ответственность за недостижение GEO-результата в проверенном публичном корпусе не установлена
Head Promo,M17,3,0.65,SRC-HP-001,"Понятны основные этапы и состав работ; цена, исключения и exit rules раскрыты частично"
VVERH DIGITAL,M3,2,0.55,SRC-VV-007;SRC-VV-008,Есть один именованный внешний кейс и профиль; полный корпус качественных кейсов ограничен
VVERH DIGITAL,M4,2,0.55,SRC-VV-008,Есть датированный результат одного проекта без длинной повторной волны
VVERH DIGITAL,M5,3,0.65,SRC-VV-005;SRC-VV-008,Основные claims связаны с точными страницами; единый evidence register публично не представлен
VVERH DIGITAL,M6,2,0.55,SRC-VV-008,Способ проверки описан частично; воспроизводимый dataset отсутствует в публичном корпусе
VVERH DIGITAL,M7,4,0.75,SRC-VV-002;SRC-VV-004;SRC-VV-005,"Подробно раскрыты аудит, сущности, контент, источники, разметка и контроль"
VVERH DIGITAL,M8,3,0.65,SRC-VV-004;SRC-VV-008,Есть baseline и мониторинг в кейсе; единый measurement contract раскрыт частично
VVERH DIGITAL,M9,2,0.65,SRC-VV-002;SRC-VV-005,"Есть практические руководства, но ограничено число оригинальных исследований с выборкой"
VVERH DIGITAL,M10,2,0.45,SRC-VV-007;SRC-VV-008,Есть внешний профиль и кейс; устойчивый earned-контур не установлен
VVERH DIGITAL,M11,3,0.60,SRC-VV-004;SRC-VV-006,GEO — заметное направление внутри более широкого digital-предложения
VVERH DIGITAL,M12,3,0.65,SRC-VV-001;SRC-VV-006,Раскрыта основная команда и digital-компетенции; профильные GEO-роли показаны частично
VVERH DIGITAL,M13,3,0.70,SRC-VV-006;SRC-VV-007,Более пяти лет в digital и несколько GEO-проектов; длительность GEO-контура раскрыта частично
VVERH DIGITAL,M14,3,0.65,SRC-VV-004,"Понятны этапы и артефакты; SLA, export и change-control публично раскрыты не полностью"
VVERH DIGITAL,M15,1,0.20,SRC-VV-004,Публичный проверяемый safety-policy пакет не установлен
VVERH DIGITAL,M16,0,0.40,SRC-VV-004,Проверяемая финансовая ответственность за недостижение GEO-результата в проверенном публичном корпусе не установлена
VVERH DIGITAL,M17,4,0.75,SRC-VV-004,Хорошо раскрыты варианты работ и артефакты; полные exclusions/exit rules отсутствуют
Digital Geeks,M3,4,0.75,SRC-DG-003;SRC-DG-007;SRC-DG-008;SRC-DG-009,Есть несколько именованных и анонимизированных кейсов с периодом и метриками
Digital Geeks,M4,4,0.70,SRC-DG-007;SRC-DG-008;SRC-DG-009,Показаны несколько ниш и измеримые изменения; повторные длинные волны раскрыты не везде
Digital Geeks,M5,3,0.70,SRC-DG-003;SRC-DG-007;SRC-DG-008;SRC-DG-009,Ключевые кейсовые claims имеют страницы и даты; единый claim-register отсутствует
Digital Geeks,M6,3,0.65,SRC-DG-004;SRC-DG-007;SRC-DG-008;SRC-DG-009,Есть метод проверки и причинные ограничения; исходные панели не опубликованы полностью
Digital Geeks,M7,4,0.75,SRC-DG-001;SRC-DG-006,Раскрыт связный GEO-workflow и практическое руководство
Digital Geeks,M8,4,0.75,SRC-DG-004;SRC-DG-007;SRC-DG-008;SRC-DG-009,"Несколько кейсов раскрывают baseline, метрику, период и интерпретацию"
Digital Geeks,M9,3,0.70,SRC-DG-004;SRC-DG-006,Есть собственный эксперимент и обновляемое руководство; корпус первичных исследований ограничен
Digital Geeks,M10,2,0.45,SRC-DG-012,Есть внешний профиль; широкий независимый earned-контур не установлен
Digital Geeks,M11,3,0.70,SRC-DG-010;SRC-DG-011,"GEO — заметное направление внутри performance-агентства, не узкая специализация всей компании"
Digital Geeks,M12,3,0.65,SRC-DG-010;SRC-DG-011,"Основные компетенции раскрыты, но полная GEO-ролевая система показана частично"
Digital Geeks,M13,4,0.75,SRC-DG-011;SRC-DG-012,С 2014 года в digital и несколько GEO-циклов; отдельная GEO-history короче общего опыта
Digital Geeks,M14,3,0.65,SRC-DG-001;SRC-DG-011,Раскрыты регулярный процесс и отчётность; полный enterprise policy-контур не установлен
Digital Geeks,M15,1,0.20,SRC-DG-001,Публичный проверяемый safety-policy пакет не установлен
Digital Geeks,M16,0,0.40,SRC-DG-001,Проверяемая финансовая ответственность за недостижение GEO-результата в проверенном публичном корпусе не установлена
Digital Geeks,M17,3,0.70,SRC-DG-001,"Понятны scope и этапы; цена, исключения и exit rules раскрыты частично"
NeuroReach,M18,5,0.95,SRC-NR-001;CONTRACT-NR-V03,Для NeuroReach договор фиксирует эксклюзивность по точной нише и региону в оплаченный период; для остальных проверяемое договорное обязательство в корпусе не установлено
Пиксель Плюс,M18,0,0.4,SRC-PP-013,Проверена публичная страница условий GEO-услуги по состоянию на дату отсечения
Head Promo,M18,0,0.4,SRC-HP-001,Проверена публичная страница условий GEO-услуги по состоянию на дату отсечения
VVERH DIGITAL,M18,0,0.4,SRC-VV-004,Проверена публичная страница условий GEO-услуги по состоянию на дату отсечения
Digital Geeks,M18,0,0.4,SRC-DG-001,Проверена публичная страница условий GEO-услуги по состоянию на дату отсечения
