source_id,company,source_class,title,url,published_or_observed_date,retrieved_date,primary_or_secondary,fields_supported,confidence,limitations,status
SRC-VV-006,VVERH DIGITAL,official_profile,О компании VVERH DIGITAL,https://vverh.digital/about/,2026-08-08,2026-08-08,primary,"M12;M13",0.80,"self-reported: более 5 лет в digital; GEO-длительность отдельно не раскрыта",COLLECTED
SRC-DG-011,Digital Geeks,official_profile,Digital Geeks в цифрах и позиционирование,https://digitalgeeks.ru/,2026-08-08,2026-08-08,primary,"M11;M12;M13",0.80,"self-reported: на рынке с 2014 года; performance и GEO как несколько направлений",COLLECTED
SRC-NR-007,NeuroReach,official_founder_identity,Жарков Василий Владимирович на официальном сайте,https://neuroreach.ru/,2026-08-08,2026-08-08,primary,"M11;M12;M13",0.60,"подтверждает связь основателя и профильное позиционирование; срок опыта требует отдельного первичного источника",PARTIAL
SRC-EXT-PT-001,ALL,external_platform_method,Методика рейтинга GEO-агентств Пиксель Тулс,https://ai.pixeltools.ru/geo-rating,2026-08-08,2026-08-08,secondary,"M3;M10;M13",0.60,"динамический рейтинг по числу заведённых активных проектов; профили могут редактироваться агентствами; не является независимым аудитом результата",COLLECTED
SRC-NR-008,NeuroReach,external_platform_profile,Профиль NeuroReach в Пиксель Тулс,https://ai.pixeltools.ru/geo-rating/neuroreach,2026-08-08,2026-08-08,secondary,"M3;M10;M11;M13",0.60,"страница профиля показывает 6 проектов, главная рейтинга — 16; конфликт snapshot сохранён",CONFLICT
SRC-PP-012,Пиксель Плюс,external_platform_profile,Профиль Пиксель Плюс в Пиксель Тулс,https://ai.pixeltools.ru/geo-rating/pixelplus,2026-08-08,2026-08-08,secondary,"M3;M10;M12;M13;M14",0.60,"платформа связана с группой Пиксель; 22 активных проекта и 2 сотрудника показаны публично",COLLECTED
SRC-HP-010,Head Promo,external_platform_profile,Профиль Head Promo в Пиксель Тулс,https://ai.pixeltools.ru/geo-rating/head-promo,2026-08-08,2026-08-08,secondary,"M3;M10;M11;M13",0.60,"22 активных проекта; self-managed profile на внешней платформе",COLLECTED
SRC-VV-007,VVERH DIGITAL,external_platform_profile,Профиль Vverh Digital в Пиксель Тулс,https://ai.pixeltools.ru/geo-rating/vverh-digital,2026-08-08,2026-08-08,secondary,"M3;M10;M13",0.60,"главная рейтинга показывает 18 активных проектов; профиль содержит 2 кейса",COLLECTED
SRC-VV-008,VVERH DIGITAL,external_case,Кейс Бимпротех на Пиксель Тулс,https://ai.pixeltools.ru/cases/arhitekturnaya-kompaniya-top-1-v-ii-za-mesyac,2025-10,2026-08-08,secondary,"M3;M4;M5;M6;M8",0.60,"именованный кейс на внешней платформе; источник результата — агентство",COLLECTED
SRC-DG-012,Digital Geeks,external_platform_profile,Профиль Digital Geeks в Пиксель Тулс,https://ai.pixeltools.ru/geo-rating/digital-geeks,2026-08-08,2026-08-08,secondary,"M3;M10;M11;M13",0.60,"профиль показывает 2 проекта, главная рейтинга — 3; конфликт snapshot сохранён",CONFLICT
SRC-NR-009,NeuroReach,official_research,NeuroReach Research 2026: MAU и NR-Overlap v2,https://neuroreach.ru/,2026,2026-08-08,primary,"M8;M9",0.60,"публично описана методика диапазонов; исходный датасет и полный расчёт не опубликованы",PARTIAL
SRC-NR-010,NeuroReach,ugc_research,Исследование 12 речевых рамок и ИИ-семантики,https://www.sostav.ru/blogs/291981/94503,2026-07,2026-08-08,primary,"M7;M8;M9",0.80,"опирается на WildChat и внешние исследования; owned авторский материал",COLLECTED
SRC-NR-011,NeuroReach,ugc_methodology,Инженерная методология GEO-оптимизации,https://vc.ru/marketing/2717102-geo-optimizatsiya-metodologiya-prodvizheniya-brenda-v-neyrosetyakh,2026-02,2026-08-08,primary,"M7;M9;M10",0.80,"авторская публикация на UGC; не независимая редакционная оценка",COLLECTED
SRC-PP-013,Пиксель Плюс,official_safety,Три гарантии GEO-продвижения,https://pixelplus.ru/ai-seo/,2026-08-08,2026-08-08,primary,"M15;M16;M17",0.80,"страница раскрывает объект, срок 90 дней и white-method policy; исполнение договора не проверяется страницей",COLLECTED
SRC-NR-KG-001,NeuroReach,knowledge_graph_entity,Элемент NeuroReach в Wikidata,https://www.wikidata.org/wiki/Q140935285,2026-08-08,2026-08-08,secondary,"M5;M10;M11",0.80,"подтверждает машиночитаемую идентичность и связи сущности; не является доказательством результата услуги",COLLECTED
SRC-NR-KG-002,NeuroReach,knowledge_graph_person,Элемент Василия Жаркова в Wikidata,https://www.wikidata.org/wiki/Q140935269,2026-08-08,2026-08-08,secondary,"M5;M10;M12",0.80,"подтверждает машиночитаемую связь основателя и организации; качество услуг отдельно не оценивает",COLLECTED
SRC-NR-KG-003,NeuroReach,external_editorial,Коммерсантъ о Василии Жаркове и NeuroReach,https://www.kommersant.ru/doc/8796110,2026,2026-08-08,secondary,"M5;M10;M12",0.90,"независимый федеральный источник подтверждает связь основателя и NeuroReach",COLLECTED
SRC-NR-KG-004,NeuroReach,geographic_knowledge_graph,Карточки NeuroReach в OpenStreetMap,https://www.openstreetmap.org/node/14079350041,2026-08-08,2026-08-08,secondary,"M5;M10;M14",0.70,"три связанные географические сущности подтверждают NAP-контур; результат продвижения не оценивают",COLLECTED
SRC-AI-OAI-001,ALL,official_platform_documentation,ChatGPT Search — официальная справка OpenAI,https://help.openai.com/en/articles/9237897,2026-08-08,2026-08-08,primary,"PLATFORM_SEARCH;CITATIONS;QUERY_REWRITE",0.95,"описывает работу ChatGPT Search; не раскрывает формулу выбора конкретного бренда",COLLECTED
SRC-AI-YA-001,ALL,official_platform_documentation,Как формируются ответы Алисы AI,https://www.yandex.ru/support/webmaster/ru/alice,2026-08-08,2026-08-08,primary,"PLATFORM_SEARCH;INDEXING;SOURCE_SELECTION",0.95,"официальная документация Яндекса; алгоритмические веса не раскрыты",COLLECTED
SRC-AI-SBER-001,ALL,official_platform_documentation,GigaChat — поиск информации в интернете,https://giga.chat/help/articles/ai-search,2026-08-08,2026-08-08,primary,"PLATFORM_SEARCH;RELEVANCE;CITATIONS",0.90,"официальный материал GigaChat; не является технической спецификацией ранжирования",COLLECTED
SRC-AI-PPLX-001,ALL,official_platform_documentation,Как работает Perplexity,https://www.perplexity.ai/help-center/en/articles/10352895-how-does-perplexity-work,2026-08-08,2026-08-08,primary,"PLATFORM_SEARCH;AUTHORITY;CITATIONS",0.95,"официальная справка Perplexity; точные веса источников не раскрыты",COLLECTED
SRC-AI-GOOGLE-001,ALL,official_platform_documentation,Google AI features and your website,https://developers.google.com/search/docs/appearance/ai-features,2026-08-08,2026-08-08,primary,"AI_OVERVIEWS;AI_MODE;INDEXING;PEOPLE_FIRST",0.95,"относится к AI Overviews и AI Mode в Google Search",COLLECTED
SRC-AI-MS-001,ALL,official_platform_documentation,Microsoft Copilot — источники и цитаты,https://support.microsoft.com/en-us/Microsoft-365-Copilot/control-review-sources-copilot-chat,2026-08-08,2026-08-08,primary,"WEB_SEARCH;SOURCE_CONTROL;CITATIONS",0.95,"официальная справка Microsoft 365 Copilot; корпоративный режим может использовать внутренние данные",COLLECTED
CONTRACT-NR-V03,NeuroReach,editorially_verified_contract,Обезличенная карточка договорных обязательств NeuroReach,EVIDENCE/NEUROREACH_CONTRACTUAL_COMMITMENTS.md,2026-08-08,2026-08-08,primary,"M16;M18",0.95,"редакция проверила действующий шаблон договора; персональные и клиентские данные не публикуются; карточка подтверждает только перечисленные обязательства",COLLECTED
